blocker,rank,day,room,error_type,start,end,minutes_total,seed_hits,merged_events,positive_label,current_label_note,fail_reasons
bedroom_max_regression_splits,10,7,Bedroom,FN,2025-12-07 00:00:05,2025-12-07 00:29:06,87.55,3,3,sleep,sleep,recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,1,9,Bedroom,FN,2025-12-09 01:24:17,2025-12-09 06:00:45,702.75,3,6,sleep,sleep,occupied_f1_lt_0.550;occupied_recall_lt_0.500;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,2,10,Bedroom,FN,2025-12-10 21:55:39,2025-12-10 23:59:44,372.75,3,3,sleep,sleep,fragmentation_score_lt_0.450;occupied_f1_lt_0.550;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,3,10,Bedroom,FN,2025-12-10 00:00:09,2025-12-10 01:57:44,353.25,3,3,sleep,sleep,fragmentation_score_lt_0.450;occupied_f1_lt_0.550;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,4,7,Bedroom,FN,2025-12-07 22:18:40,2025-12-07 23:59:47,303.85,3,3,sleep,sleep,recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,5,8,Bedroom,FP,2025-12-08 01:56:14,2025-12-08 03:53:02,254.77,3,3,sleep,not sleep (likely unoccupied),occupied_f1_lt_0.550;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,6,8,Bedroom,FN,2025-12-08 22:14:27,2025-12-08 23:59:51,199.95,3,3,sleep,sleep,occupied_f1_lt_0.550;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,7,8,Bedroom,FP,2025-12-08 04:08:52,2025-12-08 05:49:38,195.38,3,6,sleep,not sleep (likely unoccupied),occupied_f1_lt_0.550;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,8,9,Bedroom,FN,2025-12-09 22:08:30,2025-12-09 23:11:55,164.03,3,5,sleep,sleep,occupied_f1_lt_0.550;occupied_recall_lt_0.500;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,9,8,Bedroom,FP,2025-12-08 00:25:50,2025-12-08 01:17:35,102.63,3,4,sleep,not sleep (likely unoccupied),occupied_f1_lt_0.550;recall_sleep_lt_0.400
day8_bedroom_sleep_recall_min,10,7,Bedroom,FN,2025-12-07 00:00:05,2025-12-07 00:29:06,87.55,3,3,sleep,sleep,recall_sleep_lt_0.400
