day,error_type,start,end,minutes_total,seed_hits,seeds,merged_events,fail_reasons,label_mode_source,label_occ_rate_source,motion_mean,light_mean,co2_mean,issue_tag
10,FN,2025-12-10 19:03:25,2025-12-10 19:35:55,65.33,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,3.4215,949.1544,2927.92,possible_model_miss_despite_signal
10,FN,2025-12-10 20:16:39,2025-12-10 20:42:42,52.43,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,1.7271,949.4364,2768.92,possible_model_miss_despite_signal
10,FP,2025-12-10 17:10:49,2025-12-10 17:53:06,42.45,1,22,1,occupied_f1_lt_0.580,unoccupied,0.0,0.1445,946.1374,2882.82,possible_label_gap_or_boundary
10,FN,2025-12-10 14:55:22,2025-12-10 15:16:39,42.22,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.1187,1062.5331,3171.45,possible_model_miss_despite_signal
10,FP,2025-12-10 11:53:13,2025-12-10 12:32:17,39.23,1,22,1,occupied_f1_lt_0.580,unoccupied,0.0,0.5451,194.9388,3076.0,mixed_fp
10,FN,2025-12-10 18:43:19,2025-12-10 18:53:14,20.17,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,1.6734,944.9701,2791.19,possible_model_miss_despite_signal
10,FN,2025-12-10 21:45:41,2025-12-10 21:54:23,8.87,1,33,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,7.0823,901.5645,2716.27,possible_model_miss_despite_signal
10,FP,2025-12-10 21:19:23,2025-12-10 21:23:39,7.57,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.6735,904.5427,2577.88,possible_label_gap_or_boundary
10,FN,2025-12-10 16:45:59,2025-12-10 16:53:16,7.45,1,11,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,1.5525,969.1924,3061.99,possible_model_miss_despite_signal
10,FP,2025-12-10 14:50:32,2025-12-10 14:53:05,2.72,1,33,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.1316,1110.7685,3150.42,possible_label_gap_or_boundary
10,FP,2025-12-10 16:30:08,2025-12-10 16:32:39,2.68,1,33,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.1116,939.0425,3056.53,possible_label_gap_or_boundary
10,FP,2025-12-10 08:49:07,2025-12-10 08:51:16,2.32,1,33,1,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.0992,1076.4922,2895.51,possible_label_gap_or_boundary
